girls,rating_R,cast,man,man,high,high,family,father,country,rating_TV-G,rating_NR,love,love,woman,home,rating_G,american,duration,black,life,life,rating_TV-MA,teen,rating_PG,series,rating_TV-Y,world,world,release_year,rating_TV-14,school,movie,type,director,christmas,girl,girl,city,rating_TV-Y7,rating_PG-13
0,0.0,4449,0,0,0,0,1,1,9337,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,0,2021.0,0.0,0,0,1,2795,0,0,0,0,0.0,0.0
0,0.0,5695,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,4,0,0,0,1.0,0,0.0,0,0.0,0,1,2019.0,0.0,0,0,1,9939,0,0,0,0,0.0,0.0
0,0.0,5802,0,0,0,0,0,0,6044,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,1,0.0,1,0.0,1,0,2019.0,0.0,0,0,1,3503,0,0,0,0,0.0,0.0
0,0.0,6696,0,0,0,0,0,0,6044,0.0,0.0,0,0,0,0,0.0,0,10,0,0,0,0.0,0,0.0,0,1.0,0,1,1992.0,0.0,0,0,1,5456,0,0,0,0,0.0,0.0
0,0.0,2113,0,0,0,0,0,1,3325,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,0.0,0,0.0,0,0.0,0,0,2019.0,1.0,0,0,1,6941,0,0,0,0,0.0,0.0
0,0.0,2953,0,0,0,1,0,0,4096,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,0.0,0,0.0,0,0.0,0,0,2017.0,1.0,2,0,1,3723,0,0,1,0,0.0,0.0
0,0.0,8173,0,0,0,0,0,0,6296,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,1,5682,0,0,0,0,0.0,0.0
0,0.0,7035,0,0,0,0,0,0,1325,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,1,0.0,0,0,2018.193973797708,0.0,0,0,1,7033,0,0,0,0,0.0,0.0
0,0.0,3812,0,0,0,0,0,0,1468,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,0,2019.4277935507475,0.0,0,0,1,3330,0,0,0,0,0.0,0.0
0,0.0,7207,0,0,0,1,0,0,3325,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2011.0,1.0,1,0,1,6956,0,0,0,0,0.0,0.0
0,0.0,1719,0,0,1,1,0,0,7969,0.0,0.0,0,0,0,0,0.0,0,7,0,0,0,0.0,1,0.0,1,0.0,0,0,1999.0,1.0,1,0,1,7197,0,0,0,0,0.0,0.0
0,0.0,3967,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,3,0,0,0,1.0,0,0.0,0,0.0,0,0,2019.8763761081107,0.0,0,0,1,9026,0,0,0,0,0.0,0.0
0,0.0,1834,0,0,0,0,0,0,1325,0.0,0.0,0,0,0,0,0.0,0,4,0,0,0,0.0,0,0.0,0,1.0,0,1,2015.0,0.0,0,0,1,7528,0,0,0,0,0.0,0.0
0,0.0,1312,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,1,2021.0,1.0,0,0,1,1027,0,0,0,0,0.0,0.0
0,0.0,8001,0,1,0,0,0,0,3654,0.0,0.0,0,1,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2005.0,1.0,0,0,1,6237,0,0,0,0,0.0,0.0
0,0.0,9175,1,0,0,0,0,0,3654,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2016.0,1.0,1,0,1,8770,0,0,0,0,0.0,0.0
0,0.0,4773,0,0,0,0,0,0,6044,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,1,0.0,1,0.0,1,0,2019.0,0.0,0,0,1,5416,0,0,0,0,0.0,0.0
0,0.0,7713,0,0,0,0,1,0,1325,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,1,5050,0,0,0,0,0.0,0.0
0,0.0,9955,0,1,0,0,0,0,4466,0.0,0.0,0,0,0,0,0.0,0,1,0,0,1,0.0,0,0.0,1,0.0,0,0,2020.0,1.0,0,0,1,1142,0,0,0,0,0.0,0.0
0,0.0,2951,0,0,0,0,1,0,6044,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,0.0,0,0.0,0,1.0,0,1,2015.0,0.0,0,0,1,8762,0,0,0,0,0.0,0.0
1,0.0,4094,0,0,0,1,1,0,4096,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2012.0,0.0,1,0,1,5920,0,0,0,0,0.0,0.0
0,0.0,5629,0,0,0,0,0,0,7603,0.0,0.0,0,1,0,0,0.0,0,1,0,0,1,0.0,0,0.0,0,0.0,0,1,2009.0,1.0,0,0,1,1164,0,0,0,0,0.0,0.0
0,0.0,4091,0,0,0,0,0,0,8040,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,6280,0,0,0,0,1.0,0.0
0,0.0,6356,0,0,0,2,0,0,3543,0.0,0.0,0,0,0,0,0.0,0,4,0,0,1,0.0,1,0.0,0,0.0,0,1,2017.0,1.0,1,0,1,6709,0,0,0,0,0.0,0.0
0,0.0,4536,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,3,0,0,0,0.0,0,0.0,0,0.0,0,0,2012.0,1.0,0,0,1,5129,0,0,0,0,0.0,0.0
0,0.0,2405,0,0,0,0,1,0,3654,0.0,0.0,0,0,1,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2013.0,1.0,0,0,1,4433,0,0,1,0,0.0,0.0
0,0.0,2168,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,1,4824,0,0,0,0,1.0,0.0
0,0.0,6671,0,0,0,0,0,1,9494,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2017.0,1.0,0,0,1,7273,0,0,0,0,0.0,0.0
0,0.0,9163,0,0,0,0,0,0,9337,0.0,0.0,0,1,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2016.0,1.0,0,0,1,8295,0,0,0,0,0.0,0.0
0,0.0,8470,0,0,0,0,1,0,6692,0.0,0.0,0,0,1,1,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,6247,0,0,0,0,0.0,0.0
0,0.0,9773,0,0,0,0,0,0,1325,0.0,0.0,0,0,1,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,1,2019.0,0.0,0,0,1,5662,0,0,0,0,0.0,0.0
0,0.0,4175,0,1,0,0,0,0,6304,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2009.0,1.0,0,0,1,2219,0,0,0,0,0.0,0.0
0,0.0,5640,0,0,0,0,0,0,1641,0.0,0.0,0,0,0,0,0.0,0,2,0,0,1,0.0,0,0.0,0,0.0,0,0,2020.0,1.0,0,0,1,7322,0,0,0,0,0.0,0.0
0,0.0,2318,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,1,2020.0,1.0,0,0,1,5236,0,0,0,0,0.0,0.0
0,0.0,4091,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,7824,0,0,0,0,1.0,0.0
0,0.0,9087,0,0,0,0,0,0,9337,0.0,0.0,0,0,1,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,1,2019.0,0.0,0,0,1,2439,0,0,0,0,0.0,0.0
0,0.0,1058,0,0,0,0,0,0,5288,0.0,0.0,0,0,0,0,0.0,0,3,0,0,0,1.0,1,0.0,0,0.0,0,0,2021.0,0.0,0,0,1,7721,0,0,0,0,0.0,0.0
0,0.0,7814,0,0,0,0,0,0,5057,0.0,0.0,0,0,0,0,0.0,0,2,1,0,0,1.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,1,5782,0,0,0,0,0.0,0.0
0,0.0,3675,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,0.3310218363681334,0,0.0,0,0.0,0,0,2017.668978163632,0.0,0,0,1,4449,0,0,0,0,0.0,0.0
0,0.0,4379,0,0,0,0,0,0,6582,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2015.0,0.0,1,0,1,9622,0,0,0,0,0.0,0.0
0,0.0,8751,0,1,0,0,0,0,8361,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2016.0,0.0,0,0,1,7101,0,0,0,0,0.0,0.0
0,0.0,1152,0,0,0,2,0,0,3543,0.0,0.0,0,0,0,0,0.0,0,4,0,0,1,0.0,1,0.0,0,0.0,0,1,2017.0,1.0,1,0,1,6709,0,0,0,0,0.0,0.0
0,1.0,8221,0,0,0,0,0,0,7356,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,1,0.0,0,0,2016.0,0.0,0,0,1,2165,0,0,0,0,0.0,0.0
0,0.0,4739,0,0,0,0,0,0,8040,0.0,0.0,0,0,0,0,0.0,0,4,0,0,0,0.0,0,0.0,0,1.0,0,1,2015.0,0.0,0,0,1,7189,0,0,0,0,0.0,0.0
0,0.0,3320,0,0,0,0,0,0,4096,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,0.0,0,0.0,0,0.0,0,0,2001.0,1.0,0,0,1,8089,0,0,0,0,0.0,0.0
0,0.0,4150,0,0,1,1,0,0,7969,0.0,0.0,0,0,0,0,0.0,0,7,0,0,0,0.0,1,0.0,1,0.0,0,0,1999.0,1.0,1,0,1,3600,0,0,0,0,0.0,0.0
0,0.0,3445,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,3,0,0,0,0.0,0,0.0,0,0.0,0,1,2021.0,0.0,0,0,1,3598,0,0,0,0,0.0,0.0
0,0.0,1506,0,0,0,0,0,0,4466,0.0,0.0,0,0,0,0,0.0,0,1,0,0,1,0.0,0,0.0,0,0.0,0,0,2018.0,1.0,0,0,1,5961,0,0,0,0,0.0,0.0
0,0.0,4225,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,3,0,0,0,0.0,0,0.0,0,0.0,0,1,2018.0,0.0,0,0,1,4811,0,0,0,0,0.0,0.0
0,0.0,4533,0,0,0,0,1,0,9337,0.0,0.0,0,0,1,0,0.0,0,3,0,0,0,1.0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,1,3350,0,0,0,0,0.0,0.0
0,0.0,4739,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,4,0,0,0,0.0,0,0.0,0,1.0,0,1,2015.0,0.0,0,0,1,2872,0,0,0,0,0.0,0.0
0,0.0,3014,0,0,0,1,0,0,1818,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,0,2021.0,0.0,0,0,1,7192,0,0,0,0,0.0,0.0
0,0.0,7268,0,0,0,0,0,0,3543,0.0,0.0,0,1,0,0,0.0,0,5,0,0,1,1.0,0,0.0,0,0.0,0,0,2021.0,0.0,0,0,1,3479,0,0,0,0,0.0,0.0
0,0.0,6496,0,0,0,0,0,0,3325,0.0,0.0,1,1,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2017.0,1.0,0,0,1,8776,0,0,0,0,0.0,0.0
0,0.0,2074,0,0,0,0,1,1,6044,0.0,1.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2004.0,0.0,0,0,1,3229,0,0,0,0,0.0,0.0
