rating_R,cast,man,man,family,country,young,rating_TV-G,love,love,woman,home,rating_G,duration,black,life,life,rating_TV-MA,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,movie,type,group,director,rating_TV-PG,christmas,girl,girl,rating_TV-Y7,rating_PG-13
1.0,9328,0,0,0,9337,1,0.0,0,0,0,0,0.0,118,0,0,0,0.0,0,0.0,0,0,2014.0,0.0,0,0,0,0,0,2585,0.0,0,0,0,0.0,0.0
0.0,7426,0,0,0,3543,1,0.0,0,0,0,0,0.0,96,0,0,0,0.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,0,5111,0.0,0,0,0,0.0,1.0
0.0,3442,0,0,0,6582,0,0.0,0,0,0,0,0.0,116,0,0,0,0.0,0,0.0,0,0,2018.0,1.0,0,0,0,0,0,7273,0.0,0,0,0,0.0,0.0
1.0,9780,0,1,0,9337,0,0.0,0,0,0,0,0.0,154,0,0,0,0.0,0,0.0,0,0,1994.0,0.0,0,0,0,0,0,4517,0.0,0,0,0,0.0,0.0
0.0,9505,0,0,0,9337,0,0.0,0,0,0,0,0.0,94,0,0,0,0.0,0,0.0,0,0,1999.0,0.0,0,0,0,0,0,4225,0.0,0,0,0,0.0,1.0
1.0,5879,0,0,0,8420,0,0.0,0,0,0,0,0.0,83,0,0,0,0.0,0,0.0,0,0,2014.0,0.0,0,0,0,0,0,4349,0.0,0,0,0,0.0,0.0
0.0,6414,0,0,0,1325,0,0.0,0,0,0,0,0.0,133,0,0,0,0.0,0,0.0,0,0,1997.0,1.0,0,0,0,0,0,9644,0.0,0,0,0,0.0,0.0
0.0,8008,0,0,0,5288,0,0.0,0,0,0,0,0.0,101,0,0,0,0.0,0,0.0,0,0,2002.0,0.0,0,0,0,0,0,7716,0.0,0,0,0,0.0,1.0
1.0,4856,0,0,0,9337,0,0.0,0,0,0,0,0.0,110,0,0,0,0.0,0,0.0,0,0,2009.0,0.0,0,0,0,0,0,5477,0.0,0,0,0,0.0,0.0
1.0,5109,0,0,0,6044,0,0.0,0,0,0,0,0.0,123,0,0,0,0.0,0,0.0,0,0,2013.0,0.0,0,0,0,0,0,4967,0.0,0,0,0,0.0,0.0
