rating_R,cast,man,man,family,country,young,rating_TV-G,love,love,woman,home,rating_G,duration,black,life,life,rating_TV-MA,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,movie,type,group,director,rating_TV-PG,christmas,girl,girl,rating_TV-Y7,rating_PG-13
1.0,4954,0,0,0,8040,0,0.0,0,0,0,0,0.0,100,1,0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,0,2354,0.0,0,0,0,0.0,0.0
0.3363235140887012,1226,0,0,0,9337,0,0.0,0,0,0,0,0.0,119,0,0,0,0.0,0,0.0,0,0,2010.9551472886694,0.0,0,0,0,0,0,8983,0.0,0,0,0,0.0,0.6636764859112988
0.0,7271,0,0,0,3325,1,0.0,0,0,0,0,0.0,110,0,0,0,0.0,0,0.0,1,0,2020.0,1.0,0,0,0,0,0,3431,0.0,0,0,0,0.0,0.0
1.0,7717,0,0,0,7969,0,0.0,0,0,0,0,0.0,115,0,0,0,0.0,0,0.0,0,0,2016.3479478188701,0.0,0,0,0,0,0,3354,0.0,0,0,0,0.0,0.0
0.0,7262,0,0,0,9337,0,0.0,0,0,0,0,0.0,88,0,0,0,0.0,0,0.0,0,0,2017.0,1.0,0,0,0,0,1,8359,0.0,0,0,0,0.0,0.0
0.0,6759,0,0,0,3110,0,0.0,0,0,0,0,0.0,101,0,0,0,0.0,0,0.0,0,0,2015.5970124617543,0.0,0,0,0,0,0,8585,0.0,0,0,0,0.0,1.0
0.0,4100,0,0,1,4096,0,0.0,0,0,0,0,0.0,111,0,0,0,1.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,0,4660,0.0,0,0,0,0.0,0.0
0.5067694834639053,1528,0,0,0,6044,0,0.0,0,0,0,0,0.0,145,0,0,0,0.0,0,0.0,0,0,1993.7233929543088,0.0,0,0,0,0,0,8818,0.0,0,0,0,0.0,0.0
0.0,9765,0,1,0,1325,0,0.0,0,0,0,0,0.0,121,0,0,0,1.0,0,0.0,0,0,2012.0,0.0,0,0,0,0,0,8866,0.0,0,0,0,0.0,0.0
0.0,7083,0,0,0,4096,0,0.0,0,0,0,0,0.0,80,0,0,0,1.0,0,0.0,0,0,1997.3362284080886,0.0,0,0,0,0,0,2636,0.0,0,0,0,0.0,0.0
0.0,1023,0,0,0,9337,0,0.0,0,0,0,0,0.0,88,0,0,0,0.7085929390333776,0,0.0,0,0,2017.4570353048332,0.0,0,0,0,0,0,3303,0.2914070609666224,0,0,0,0.0,0.0
0.0,4366,0,0,0,1325,0,0.0,0,0,0,0,0.0,152,0,0,0,0.0,0,0.0,0,0,1980.207263855611,1.0,0,0,0,0,0,5552,0.0,0,0,0,0.0,0.0
0.8048256887951549,8354,0,0,0,1325,0,0.0,0,0,0,0,0.0,115,0,0,0,0.0,0,0.0,0,0,2017.195174311205,0.19517431120484507,0,0,0,0,0,6855,0.0,0,0,0,0.0,0.0
0.0,4832,0,0,0,9337,0,0.0,0,0,0,0,0.0,106,0,0,0,0.870453016676707,0,0.0,0,0,2020.6113590500302,0.0,0,0,0,0,0,5412,0.0,0,0,0,0.0,0.12954698332329295
0.0,8755,0,0,0,4089,0,0.0,0,1,0,0,0.0,102,0,0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,0,0,0,2680,1.0,0,0,0,0.0,0.0
0.0,9630,0,0,0,1325,1,0.0,0,0,1,0,0.0,114,0,0,0,0.0,0,0.0,0,0,2019.765328432694,1.0,0,0,0,0,0,9367,0.0,0,0,0,0.0,0.0
1.0,2587,0,0,0,9337,0,0.0,0,0,0,0,0.0,104,0,0,0,0.0,0,0.0,0,0,2013.0711157437393,0.0,0,0,0,0,0,4770,0.0,0,0,0,0.0,0.0
0.0,5399,0,0,0,1325,0,0.0,0,0,0,0,0.0,118,0,0,0,0.0,0,0.0,0,0,2012.8238253085874,1.0,0,0,0,0,0,3149,0.0,0,0,0,0.0,0.0
0.0,1014,0,0,0,6044,0,0.0,0,0,0,0,0.0,95,0,0,0,1.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,0,1483,0.0,0,0,0,0.0,0.0
1.0,5626,0,1,0,9406,0,0.0,0,0,0,0,0.0,93,0,0,0,0.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,0,3744,0.0,0,0,0,0.0,0.0
0.0,3777,0,0,0,9337,0,0.0,0,0,0,0,0.0,97,0,0,0,1.0,0,0.0,0,0,2019.956229078461,0.0,0,0,0,0,0,2551,0.0,0,0,0,0.0,0.0
0.0,3902,0,0,0,9337,0,0.0,0,0,0,0,0.0,94,0,0,0,0.5112224698863987,0,0.0,0,0,2016.0448898795455,0.0,0,0,0,0,0,2765,0.0,0,0,0,0.0,0.48877753011360126
0.0,3245,0,0,0,6044,0,0.0,0,0,0,0,0.0,90,0,0,0,1.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,0,6340,0.0,0,0,0,0.0,0.0
0.0,5350,0,0,0,4096,0,0.0,0,0,0,0,0.0,103,0,0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,0,7517,1.0,0,0,0,0.0,0.0
0.0,9043,0,0,0,1325,0,0.0,0,1,0,0,0.0,214,0,0,0,0.0,0,0.0,0,0,2008.0,1.0,0,0,0,0,0,4315,0.0,0,0,0,0.0,0.0
0.0,8618,0,0,0,1325,0,0.0,0,0,0,0,0.0,143,0,0,1,0.0,0,0.0,0,0,2017.0,1.0,0,0,0,0,0,8772,0.0,0,0,0,0.0,0.0
1.0,4127,0,0,0,6296,0,0.0,0,0,0,0,0.0,95,0,0,0,0.0,0,0.0,0,0,2015.0,0.0,0,0,0,0,0,7708,0.0,0,0,0,0.0,0.0
1.0,3632,0,0,0,7694,0,0.0,0,0,1,0,0.0,95,0,0,0,0.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,0,4382,0.0,0,0,0,0.0,0.0
0.0,9941,0,0,0,5146,0,0.0,0,0,0,0,0.0,121,0,0,0,1.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,0,5758,0.0,0,0,1,0.0,0.0
0.0,7142,0,0,0,3325,0,0.0,0,0,0,0,0.0,104,0,0,1,0.0,0,0.0,0,1,2021.0,1.0,1,0,0,0,0,2180,0.0,0,0,0,0.0,0.0
0.3992751839195361,6537,0,0,0,4096,0,0.0,0,0,0,0,0.0,69,0,0,0,0.6007248160804639,0,0.0,0,0,2015.1978255517586,0.0,0,0,0,0,1,5240,0.0,0,0,0,0.0,0.0
1.0,1729,0,0,1,7969,0,0.0,0,0,0,0,0.0,93,0,0,0,0.0,0,0.0,0,0,1979.0,0.0,0,0,0,0,0,1741,0.0,0,0,0,0.0,0.0
0.0,8423,0,0,0,9337,1,0.0,0,0,0,0,0.0,94,0,0,0,0.0,0,0.0,0,1,2010.0,0.0,0,0,0,0,0,1151,0.0,0,0,0,0.0,0.0
0.0,7268,0,0,0,9337,0,0.0,0,0,0,0,0.0,93,0,0,0,0.0,0,0.0,0,0,2005.0,0.0,0,0,0,0,0,4960,0.0,0,0,0,0.0,1.0
0.0,3684,0,0,0,4096,0,0.0,0,0,0,0,0.0,83,0,0,0,0.0,0,0.0,0,0,2004.0,0.0,0,0,1,0,0,4156,1.0,0,0,0,0.0,0.0
